文科 Liberal Arts
学院School || 专业 Programs || 学制Duration
水利水电学院 School of Water Resources and Hydropower Engineering || 港口航道与海岸工程 Harbor, Waterway and Coastal Engineering || 四年 4 years
水利水电学院 School of Water Resources and Hydropower Engineering || 农业水利工程 Agricultural Water and Environmental Engineering || 四年 4 years
水利水电学院 School of Water Resources and Hydropower Engineering || 智慧水利 Intelligent Water Resources Engineering || 四年 4 years
城市设计学院 School of Urban Design || 智慧建筑与建造 Smart Building and Construction || 四年 4 years
城市设计学院 School of Urban Design || 城乡规划 Urban and Rural Planning || 四年 4 years
城市设计学院 School of Urban Design || 环境设计 Environment Design || 四年 4 years
城市设计学院 School of Urban Design || 产品设计 Product Design || 四年 4 years
电子信息学院 School of Electronic Information || 通信工程 Communication Engineering || 四年 4 years
电子信息学院 School of Electronic Information || 电子信息工程  Electronic and Information Engineering || 四年 4 years
计算机学院 School of Computer Science || 软件工程 Software Engineering || 四年 4 years
计算机学院 School of Computer Science || 计算机科学与技术 Computer Science and Technology || 四年 4 years
国家网络安全学院 School of Cyber Science and Engineering || 网络空间安全  Cyberspace Security || 四年 4 years
国家网络安全学院 School of Cyber Science and Engineering || 信息安全 Information Security || 四年 4 years
国家网络安全学院 School of Cyber Science and Engineering || 密码科学与技术 Cryptographic Science and Technology || 四年 4 years
遥感信息工程学院 School of Remote Sensing and Information Engineering || 遥感科学与技术 Remote Sensing Science and Technology || 四年 4 years
遥感信息工程学院 School of Remote Sensing and Information Engineering || 空间信息与数字技术Spatial Information and Digital Technology || 四年 4 years
测绘学院 School of Geodesy and Geomatics || 测绘工程  Surveying and Mapping Engineering || 四年 4 years
测绘学院 School of Geodesy and Geomatics || 导航工程  Navigation Engineering || 四年 4 years
地球与空间科学技术学院 School of Earth and Space Science and Technology || 地球物理学 Geophysics || 四年 4 years
地球与空间科学技术学院 School of Earth and Space Science and Technology || 电波传播与天线  Radio Wave Propagation and Antenna || 四年 4 years
机器人学院 School of Robotics || 
集成电路学院 School of Integrated Circuits || 
医学类 Medicine
医学院（基础医学院，第一临床学院，第二临床学院） College of Medicine (School of Basic Medical Science, The First Affiliated Hospital, The Second Affiliated Hospital) || 临床医学 Clinical Medicine || 五年 5 years
口腔医学院 School of Stomatology || 口腔医学 Stomatology || 五年 5 years
药学院 School of Pharmaceutical Sciences || 药学 Pharmacy || 四年 4 years
药学院 School of Pharmaceutical Sciences || 生物制药 Biopharmaceutics || 四年 4 years
护理学院 School of Nursing || 护理学 Nursing || 四年 4 years
公共卫生学院 School of Public Health || 预防医学 Preventive Medicine || 五年 5 years
公共卫生学院 School of Public Health || 全球健康学 Global Health || 四年 4 years
